6
Stride: 768
nSharedFloats: 40 (= cWarpsPerBlock * 10)
Index: 362, (offset: 0, tid: 362, logStep: 0)
Index: 363, (offset: 0, tid: 363, logStep: 0)
Index: 364, (offset: 0, tid: 364, logStep: 0)
Index: 365, (offset: 0, tid: 365, logStep: 0)
Index: 366, (offset: 0, tid: 366, logStep: 0)
Index: 367, (offset: 0, tid: 367, logStep: 0)
Index: 368, (offset: 0, tid: 368, logStep: 0)
Index: 369, (offset: 0, tid: 369, logStep: 0)
Index: 370, (offset: 0, tid: 370, logStep: 0)
Index: 371, (offset: 0, tid: 371, logStep: 0)
Index: 372, (offset: 0, tid: 372, logStep: 0)
Index: 373, (offset: 0, tid: 373, logStep: 0)
Index: 374, (offset: 0, tid: 374, logStep: 0)
Index: 375, (offset: 0, tid: 375, logStep: 0)
Index: 376, (offset: 0, tid: 376, logStep: 0)
Index: 377, (offset: 0, tid: 377, logStep: 0)
Index: 378, (offset: 0, tid: 378, logStep: 0)
Index: 379, (offset: 0, tid: 379, logStep: 0)
Index: 380, (offset: 0, tid: 380, logStep: 0)
Index: 381, (offset: 0, tid: 381, logStep: 0)
Index: 382, (offset: 0, tid: 382, logStep: 0)
Index: 32, (offset: 0, tid: 32, logStep: 0)
Index: 33, (offset: 0, tid: 33, logStep: 0)
Index: 34, (offset: 0, tid: 34, logStep: 0)
Index: 35, (offset: 0, tid: 35, logStep: 0)
Index: 36, (offset: 0, tid: 36, logStep: 0)
Index: 37, (offset: 0, tid: 37, logStep: 0)
Index: 38, (offset: 0, tid: 38, logStep: 0)
Index: 39, (offset: 0, tid: 39, logStep: 0)
Index: 40, (offset: 0, tid: 40, logStep: 0)
Index: 41, (offset: 0, tid: 41, logStep: 0)
Index: 42, (offset: 0, tid: 42, logStep: 0)
Index: 43, (offset: 0, tid: 43, logStep: 0)
Index: 44, (offset: 0, tid: 44, logStep: 0)
Index: 45, (offset: 0, tid: 45, logStep: 0)
Index: 46, (offset: 0, tid: 46, logStep: 0)
Index: 47, (offset: 0, tid: 47, logStep: 0)
