,binary,n,c,exec_time,launch_time
0,03_atomic_kernel_cascade,65536,2,4.4434,7.421600000000001
1,03_atomic_kernel_cascade,65536,4,4.7307,7.4926
2,03_atomic_kernel_cascade,65536,8,5.3256000000000006,7.3685
3,03_atomic_kernel_cascade,65536,16,6.5419,7.3708
4,03_atomic_kernel_cascade,65537,32,8.7335,7.462
5,03_atomic_kernel_cascade,65536,64,13.3604,7.2411
6,03_atomic_kernel_cascade,65536,128,13.3621,7.1484
7,03_atomic_kernel_cascade,65536,256,13.3713,7.8037
8,03_atomic_kernel_cascade,65536,512,13.3613,7.3834
9,03_atomic_kernel_cascade,65536,1024,13.360899999999999,7.466
10,03_atomic_kernel_cascade,131072,2,8.0893,7.6224
11,03_atomic_kernel_cascade,131072,4,4.7539,7.467899999999999
12,03_atomic_kernel_cascade,131072,8,5.336399999999999,7.2517
13,03_atomic_kernel_cascade,131072,16,6.5322,7.682600000000001
14,03_atomic_kernel_cascade,131072,32,8.956299999999999,7.2523
15,03_atomic_kernel_cascade,131072,64,13.3497,7.3498
16,03_atomic_kernel_cascade,131072,128,22.6063,7.3087
17,03_atomic_kernel_cascade,131072,256,22.6055,7.0913
18,03_atomic_kernel_cascade,131072,512,22.608400000000003,7.912100000000001
19,03_atomic_kernel_cascade,131072,1024,22.6081,7.4438
20,03_atomic_kernel_cascade,262144,2,11.934700000000001,7.5234
21,03_atomic_kernel_cascade,262144,4,8.674299999999999,6.97
22,03_atomic_kernel_cascade,262144,8,5.3754,7.2815
23,03_atomic_kernel_cascade,262144,16,6.5667,7.9498
24,03_atomic_kernel_cascade,262144,32,8.965200000000001,7.3232
25,03_atomic_kernel_cascade,262144,64,13.792200000000001,7.5527
26,03_atomic_kernel_cascade,262144,128,22.6008,7.2287
27,03_atomic_kernel_cascade,262144,256,41.0954,7.0823
28,03_atomic_kernel_cascade,262144,512,41.092,7.4748
29,03_atomic_kernel_cascade,262144,1024,41.1024,7.4992
30,03_atomic_kernel_cascade,524288,2,19.4621,8.1205
31,03_atomic_kernel_cascade,524288,4,12.7627,8.0816
32,03_atomic_kernel_cascade,524288,8,9.7904,8.555399999999999
33,03_atomic_kernel_cascade,524288,16,6.5949,7.9864
34,03_atomic_kernel_cascade,524288,32,8.988700000000001,8.159600000000001
35,03_atomic_kernel_cascade,524288,64,13.7977,9.4967
36,03_atomic_kernel_cascade,524288,128,23.449900000000003,8.3531
37,03_atomic_kernel_cascade,524288,256,41.0856,8.0595
38,03_atomic_kernel_cascade,524288,512,78.07169999999999,8.9596
39,03_atomic_kernel_cascade,524288,1024,78.06869999999999,8.469700000000001
40,03_atomic_kernel_cascade,1048576,2,34.4987,8.5801
41,03_atomic_kernel_cascade,1048576,4,20.938299999999998,8.7529
42,03_atomic_kernel_cascade,1048576,8,14.5483,8.7291
43,03_atomic_kernel_cascade,1048576,16,12.0168,8.4225
44,03_atomic_kernel_cascade,1048576,32,9.0413,8.386899999999999
45,03_atomic_kernel_cascade,1048576,64,13.827,8.735899999999999
46,03_atomic_kernel_cascade,1048576,128,23.4473,8.9173
47,03_atomic_kernel_cascade,1048576,256,42.7378,8.6594
48,03_atomic_kernel_cascade,1048576,512,78.0381,8.4631
49,03_atomic_kernel_cascade,1048576,1024,152.0097,8.6795
50,03_atomic_kernel_cascade,2097152,2,67.6087,8.8306
51,03_atomic_kernel_cascade,2097152,4,37.096599999999995,9.2235
52,03_atomic_kernel_cascade,2097152,8,23.8682,8.7187
53,03_atomic_kernel_cascade,2097152,16,18.021,9.129700000000001
54,03_atomic_kernel_cascade,2097152,32,16.3355,9.1127
55,03_atomic_kernel_cascade,2097152,64,13.9077,8.5791
56,03_atomic_kernel_cascade,2097152,128,23.5108,9.005
57,03_atomic_kernel_cascade,2097152,256,42.7378,8.972100000000001
58,03_atomic_kernel_cascade,2097152,512,81.29780000000001,8.8363
59,03_atomic_kernel_cascade,2097152,1024,151.9416,8.9289
